model,option_id,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
bottomup_mix,Option_0,0.5210134691195795,1522.0,908.0024999999999,744.2125,-613.9975000000001,-0.403414914586071,168.0
bottomup_mix,Option_1,0.6899415660303856,5134.0,5010.16,1591.84,-123.83999999999995,-0.024121542656797806,168.0
bottomup_mix,Option_10,0.2946326530612245,490.0,444.4425,466.6325,-45.557500000000005,-0.09297448979591838,168.0
bottomup_mix,Option_11,0.19133064516129036,62.0,53.9275,92.20250000000001,-8.072499999999998,-0.13020161290322577,168.0
bottomup_mix,Option_12,0.4603388704318938,1505.0,884.3550000000001,825.4449999999999,-620.645,-0.41238870431893687,168.0
bottomup_mix,Option_13,0.3327941176470589,408.0,486.82749999999993,420.3975,78.8275,0.1932046568627451,168.0
bottomup_mix,Option_14,0.4736607142857144,1540.0,887.4875,828.0675,-652.5125,-0.4237094155844156,168.0
bottomup_mix,Option_15,0.4143390538033395,1078.0,682.8025,656.4975,-395.1975,-0.3666025046382189,168.0
bottomup_mix,Option_16,0.4266202783300198,503.0,288.17,304.505,-214.82999999999998,-0.42709741550695823,168.0
bottomup_mix,Option_17,0.6077413640389726,2258.0,1501.2399999999998,885.72,-756.76,-0.33514614703277235,168.0
bottomup_mix,Option_18,0.3659807073954984,311.0,239.96500000000003,282.65999999999997,-71.035,-0.22840836012861734,168.0
bottomup_mix,Option_19,0.23408687943262413,282.0,197.015,316.16999999999996,-84.985,-0.3013652482269504,168.0
bottomup_mix,Option_2,0.3018736383442266,459.0,276.3825,353.5575,-182.61749999999998,-0.39785947712418296,168.0
bottomup_mix,Option_20,0.6697313503305004,5295.0,5153.8825,1748.7725,-141.1175,-0.026651085930122758,168.0
bottomup_mix,Option_21,0.1565340909090909,44.0,56.370000000000005,83.795,12.370000000000005,0.28113636363636374,168.0
bottomup_mix,Option_22,0.36196601941747575,515.0,280.255,359.5,-234.74499999999998,-0.4558155339805825,168.0
bottomup_mix,Option_23,0.35186708860759497,395.0,399.74749999999995,412.1675,4.747499999999995,0.01201898734177214,168.0
bottomup_mix,Option_3,0.5889299695519792,2299.0,1521.5,945.05,-777.5,-0.33819051761635494,168.0
bottomup_mix,Option_4,0.2973081534772182,417.0,323.3125,360.5675,-93.6875,-0.22467026378896882,168.0
bottomup_mix,Option_5,0.5612385008517887,2935.0,3080.835,1287.7649999999999,145.835,0.04968824531516184,168.0
bottomup_mix,Option_6,0.4430385375494071,1012.0,594.8199999999999,563.645,-417.17999999999995,-0.4122332015810276,168.0
bottomup_mix,Option_7,0.3672916666666667,564.0,384.1125,440.3625,-179.8875,-0.3189494680851064,168.0
bottomup_mix,Option_8,0.35022140221402215,271.0,203.6225,255.73250000000002,-67.37749999999998,-0.2486254612546125,168.0
bottomup_mix,Option_9,0.2604,175.0,108.92750000000001,182.6325,-66.07249999999999,-0.3775571428571428,168.0
cate2_mix,Option_0,0.5175807634407478,1522.0,885.6336176319505,749.2081459120593,-636.3663823680495,-0.4181119463653413,168.0
cate2_mix,Option_1,0.7107768391611372,5134.0,5017.514488402116,1484.871707746722,-116.48551159788403,-0.022689036150737054,168.0
cate2_mix,Option_10,0.39185861835186075,490.0,433.60821243583354,419.83084229625894,-56.391787564166485,-0.1150852807431969,168.0
cate2_mix,Option_11,0.2653570168309847,62.0,61.13047600559776,90.22620591855565,-0.8695239944022393,-0.014024580554874827,168.0
cate2_mix,Option_12,0.484293474149076,1505.0,876.2617110061058,792.5575335682299,-628.7382889938941,-0.41776630497933165,168.0
cate2_mix,Option_13,0.4317693146835394,408.0,487.5182299436608,365.6699174219252,79.51822994366083,0.1948976224109334,168.0
cate2_mix,Option_14,0.48859516747054166,1540.0,900.7549366443322,805.9367223953791,-639.2450633556678,-0.41509419698419986,168.0
cate2_mix,Option_15,0.49620346017258865,1078.0,682.1973317901611,566.0020878113567,-395.8026682098389,-0.3671638851668264,168.0
cate2_mix,Option_16,0.4542087672060709,503.0,295.70395675567045,293.6547402577619,-207.2960432443295,-0.41211937026705664,168.0
cate2_mix,Option_17,0.6116460920508615,2258.0,1491.6695001137225,876.9031241491549,-766.3304998862775,-0.33938463236770483,168.0
cate2_mix,Option_18,0.4171861591687837,311.0,243.25918553250494,264.4585959339854,-67.74081446749506,-0.21781612368969472,168.0
cate2_mix,Option_19,0.23553068409800465,282.0,199.78032185176818,316.27681428334046,-82.21967814823181,-0.29155914236961633,168.0
cate2_mix,Option_2,0.44195030388909473,459.0,276.2044728904505,291.308033475764,-182.79552710954945,-0.3982473357506524,168.0
cate2_mix,Option_20,0.6887805395056379,5295.0,5112.393180849074,1647.907043317647,-182.6068191509258,-0.0344866513977197,168.0
cate2_mix,Option_21,0.2853073545523515,44.0,65.35173446326598,84.24468726265904,21.351734463265977,0.485266692346954,168.0
cate2_mix,Option_22,0.3979253358172738,515.0,287.6097923087305,339.7703270450411,-227.3902076912695,-0.4415343838665427,168.0
cate2_mix,Option_23,0.42185493766282844,395.0,400.2633325402101,381.9895206976178,5.263332540210129,0.013324892506861086,168.0
cate2_mix,Option_3,0.5967878724804572,2299.0,1519.6391443492594,926.984681167429,-779.3608556507406,-0.3389999372121534,168.0
cate2_mix,Option_4,0.37360670663555273,417.0,301.21705934872205,319.3996656072443,-115.78294065127794,-0.2776569320174531,168.0
cate2_mix,Option_5,0.5945135062187978,2935.0,3124.597555829105,1190.1028592478283,189.5975558291051,0.06459882651758266,168.0
cate2_mix,Option_6,0.4783807308843007,1012.0,615.542172868459,527.8787003450876,-396.45782713154097,-0.391756746177412,168.0
cate2_mix,Option_7,0.46460720125769944,564.0,377.910863641158,372.84043907934233,-186.08913635884196,-0.3299452772319893,168.0
cate2_mix,Option_8,0.36213885709735594,271.0,200.85717814823187,260.18684540590056,-70.14282185176816,-0.2588296009290338,168.0
cate2_mix,Option_9,0.3113193644963992,175.0,111.54404464990927,176.9841901530926,-63.45595535009074,-0.36260545914337566,168.0
cate2_prophet,Option_0,0.5430522522843432,1522.0,1048.6631794683235,714.2743632796762,-473.3368205316766,-0.31099659693277043,168.0
cate2_prophet,Option_1,0.7339211563129964,5134.0,5300.993973717381,1366.0487834890778,166.9939737173808,0.032527069286595406,168.0
cate2_prophet,Option_10,0.39835775191467365,490.0,456.60111770318406,409.9184703863841,-33.39888229681593,-0.06816098427921617,168.0
cate2_prophet,Option_11,0.29252182116757963,62.0,62.739340218402205,88.46663439362231,0.739340218402204,0.011924842232293613,168.0
cate2_prophet,Option_12,0.4524584554224185,1505.0,1086.6950302929167,848.4394169420159,-418.30496970708333,-0.27794350146650054,168.0
cate2_prophet,Option_13,0.45646377891386797,408.0,521.1014021124998,362.95381165133324,113.10140211249983,0.27720931890318584,168.0
cate2_prophet,Option_14,0.4809270100805139,1540.0,1140.693648902792,824.0908639797774,-399.3063510972081,-0.25928983837481046,168.0
cate2_prophet,Option_15,0.4754183110149628,1078.0,830.7482668774394,589.344631702653,-247.25173312256055,-0.2293615335088688,168.0
cate2_prophet,Option_16,0.44303461737741845,503.0,368.24452697137815,306.7495185509376,-134.75547302862185,-0.2679035249077969,168.0
cate2_prophet,Option_17,0.60233197855351,2258.0,1830.8967422293767,897.9343924261743,-427.10325777062343,-0.18915113275935494,168.0
cate2_prophet,Option_18,0.46527960602501917,311.0,250.08008265970253,239.40865333158004,-60.919917340297495,-0.19588397858616557,168.0
cate2_prophet,Option_19,0.23656092069224213,282.0,159.9557441642612,300.1038629103472,-122.04425583573881,-0.4327810490629036,168.0
cate2_prophet,Option_2,0.39507572543096203,459.0,319.74253092684506,319.89341064284815,-139.25746907315494,-0.30339317880861644,168.0
cate2_prophet,Option_20,0.733387359980451,5295.0,5380.246136128182,1411.713928903511,85.24613612818204,0.016099364707871964,168.0
cate2_prophet,Option_21,0.2589332421567548,44.0,67.44369708067153,88.65757177087711,23.44369708067153,0.5328112972879894,168.0
cate2_prophet,Option_22,0.37538667256640135,515.0,359.13415017475705,361.3322333435716,-155.86584982524292,-0.302652135582996,168.0
cate2_prophet,Option_23,0.4439205222547052,395.0,420.57045070342025,368.80335075789856,25.57045070342025,0.06473531823650697,168.0
cate2_prophet,Option_3,0.5719096588418983,2299.0,1863.983267240333,984.1796943224758,-435.0167327596671,-0.1892199794517908,168.0
cate2_prophet,Option_4,0.4066938105382453,417.0,311.4981431027627,296.2438090804376,-105.50185689723727,-0.2530020549094419,168.0
cate2_prophet,Option_5,0.620588454589901,2935.0,3285.7327293952067,1113.5728857786403,350.73272939520643,0.11950007815850304,168.0
cate2_prophet,Option_6,0.4515791047434621,1012.0,748.4217486530708,555.0019459996165,-263.5782513469292,-0.2604528175364913,168.0
cate2_prophet,Option_7,0.4013120411923854,564.0,460.29355398250937,423.26636737856643,-103.70644601749065,-0.18387667733597632,168.0
cate2_prophet,Option_8,0.30902790889908854,271.0,161.18095963176387,260.64860902904525,-109.81904036823614,-0.4052363113219046,168.0
cate2_prophet,Option_9,0.33642334180051897,175.0,114.52541542362337,171.42833521151726,-60.47458457637663,-0.34556905472215216,168.0
ensemble,Option_0,0.5496632998904512,1522.0,1016.057267101049,703.445584145666,-505.9427328989511,-0.33241966681928453,168.0
ensemble,Option_1,0.7416550591916654,5134.0,5244.298076654328,1326.34292610999,110.29807665432811,0.021483848199128967,168.0
ensemble,Option_10,0.3991394768025459,490.0,452.002536649714,410.8809844841461,-37.99746335028601,-0.07754584357201227,168.0
ensemble,Option_11,0.2870888603002606,62.0,62.41756737584132,88.81854869860899,0.41756737584131676,0.006734957674859948,168.0
ensemble,Option_12,0.47367839817793167,1505.0,1044.6083664355544,814.9093670569351,-460.39163356444544,-0.30590806216906674,168.0
ensemble,Option_13,0.45774804903096905,408.0,514.384767678732,360.9579823164796,106.38476767873206,0.2607469796047354,168.0
ensemble,Option_14,0.4930052894296999,1540.0,1092.7059064511,804.2212779412796,-447.2940935489001,-0.2904507100966884,168.0
ensemble,Option_15,0.4944139120649314,1078.0,801.0380798599838,568.6801431509116,-276.96192014001616,-0.25692200384046027,168.0
ensemble,Option_16,0.45872326340210456,503.0,353.73641292823663,297.3632934146477,-149.2635870717634,-0.2967466939796489,168.0
ensemble,Option_17,0.6310386227791175,2258.0,1763.0512938062457,833.1147897647525,-494.94870619375416,-0.21919783268102488,168.0
ensemble,Option_18,0.4612749299445637,311.0,248.715903234263,242.67268371862485,-62.28409676573699,-0.20027040760687134,168.0
ensemble,Option_19,0.24964641514211255,282.0,167.9206597017626,299.5902384061674,-114.0793402982374,-0.40453666772424607,168.0
ensemble,Option_2,0.41649357149630223,459.0,311.03491931956614,308.6486301678967,-147.96508068043383,-0.3223640101970236,168.0
ensemble,Option_20,0.7334109825208943,5295.0,5326.67554507236,1411.5888475518634,31.675545072360748,0.005982161486753682,168.0
ensemble,Option_21,0.2642080646358742,44.0,67.02530455719041,87.7749948692335,23.02530455719042,0.5233023762997823,168.0
ensemble,Option_22,0.39567363399985,515.0,344.8292786015518,348.8935492604793,-170.17072139844822,-0.3304285852397053,168.0
ensemble,Option_23,0.43959753620953324,395.0,416.5090270707783,371.40498305092717,21.509027070778245,0.054453233090577834,168.0
ensemble,Option_3,0.5929744222363195,2299.0,1795.114442662118,935.7518032787018,-503.8855573378817,-0.2191759710038633,168.0
ensemble,Option_4,0.4066313796973582,417.0,309.44192635195463,298.14154958096435,-107.5580736480454,-0.2579330303310441,168.0
ensemble,Option_5,0.6252146601119356,2935.0,3253.505694681986,1099.9949725714696,318.5056946819863,0.10851982783031902,168.0
ensemble,Option_6,0.4724842692591261,1012.0,721.8458334961485,533.8459195097644,-290.15416650385146,-0.2867136032646754,168.0
ensemble,Option_7,0.43147618574606766,564.0,443.8170159142391,403.3082982458122,-120.18298408576088,-0.21309039731517887,168.0
ensemble,Option_8,0.3309192910627162,271.0,169.11620333505746,257.50230513041924,-101.88379666494255,-0.37595496924333044,168.0
ensemble,Option_9,0.3325548540320028,175.0,113.92914126888056,172.33785235367847,-61.07085873111944,-0.3489763356063968,168.0
ensemble_bias_global,Option_0,0.5600200496237061,1522.0,1058.2374918280507,688.4312315834455,-463.7625081719493,-0.30470598434425056,168.0
ensemble_bias_global,Option_1,0.733807498196652,5134.0,5462.007922911117,1366.6323042583876,328.0079229111174,0.06388935000216545,168.0
ensemble_bias_global,Option_10,0.4004593004404873,490.0,470.7668023957349,415.06892027674473,-19.233197604265136,-0.03925142368217375,168.0
ensemble_bias_global,Option_11,0.29900696082094674,62.0,65.0087471292596,89.93188398746221,3.008747129259614,0.04852817950418733,168.0
ensemble_bias_global,Option_12,0.4756678199051199,1505.0,1087.9738509162396,812.8616053291707,-417.02614908376023,-0.2770937867666181,168.0
ensemble_bias_global,Option_13,0.45460100470109865,408.0,535.7387462381687,368.04222690913616,127.73874623816863,0.3130851623484525,168.0
ensemble_bias_global,Option_14,0.4969852449133059,1540.0,1138.068094377901,799.06561717761,-401.93190562209907,-0.26099474391045396,168.0
ensemble_bias_global,Option_15,0.49853189382347435,1078.0,834.2920777569545,565.2231023864692,-243.7079222430454,-0.22607413937202728,168.0
ensemble_bias_global,Option_16,0.46380079264027374,503.0,368.42129524201334,295.85133375662355,-134.57870475798663,-0.26755209693436705,168.0
ensemble_bias_global,Option_17,0.6348024716489096,2258.0,1836.2419516420534,824.6160190167625,-421.75804835794656,-0.18678390095568936,168.0
ensemble_bias_global,Option_18,0.4697428267962116,311.0,259.04100304043084,243.15805301312457,-51.95899695956916,-0.1670707297735343,168.0
ensemble_bias_global,Option_19,0.256847191811472,282.0,174.8916557192758,301.21242552436183,-107.1083442807242,-0.37981682369051134,168.0
ensemble_bias_global,Option_2,0.41822742569604726,459.0,323.94710765741047,309.5473433753905,-135.05289234258947,-0.29423288092067423,168.0
ensemble_bias_global,Option_20,0.7235255969234257,5295.0,5547.80517901516,1463.931964290461,252.80517901516097,0.04774413201419471,168.0
ensemble_bias_global,Option_21,0.27517630028741746,44.0,69.80776820383531,89.59225377854258,25.807768203835316,0.5865401864508026,168.0
ensemble_bias_global,Option_22,0.39872755207056776,515.0,359.14439344282664,348.88441184477244,-155.8556065571734,-0.30263224574208425,168.0
ensemble_bias_global,Option_23,0.44247764444064336,395.0,433.7998284178278,376.496294729615,38.7998284178278,0.09822741371601974,168.0
ensemble_bias_global,Option_3,0.5973849938194262,2299.0,1869.6361581734984,925.611899209139,-429.3638418265016,-0.18676113172096634,168.0
ensemble_bias_global,Option_4,0.4108786456150576,417.0,322.287983770275,298.47546444056195,-94.712016229725,-0.22712713724154676,168.0
ensemble_bias_global,Option_5,0.60934320211138,2935.0,3388.5705239940316,1146.5777018030994,453.5705239940314,0.15453850902692723,168.0
ensemble_bias_global,Option_6,0.4753401034341679,1012.0,751.8122738346825,530.9558153246221,-260.1877261653175,-0.257102496210788,168.0
ensemble_bias_global,Option_7,0.43098659265596323,564.0,462.24147098687644,407.01598133858977,-101.75852901312356,-0.18042292378213398,168.0
ensemble_bias_global,Option_8,0.3401628917840514,271.0,176.136830707767,258.15985710386656,-94.86316929223301,-0.35004859517429154,168.0
ensemble_bias_global,Option_9,0.3458859714842756,175.0,118.65875340519904,172.31036420175178,-56.34124659480095,-0.3219499805417197,168.0
ensemble_bias_horizon,Option_0,0.5638162290456876,1522.0,1060.6136529982755,682.1604788242157,-461.3863470017245,-0.3031447746397664,168.0
ensemble_bias_horizon,Option_1,0.735042672411419,5134.0,5450.051134486197,1360.2909198397756,316.0511344861964,0.0615604079638092,168.0
ensemble_bias_horizon,Option_10,0.40027521692044277,490.0,469.7986882721861,414.93168086983724,-20.20131172781391,-0.04122716679145696,168.0
ensemble_bias_horizon,Option_11,0.2999088773674529,62.0,65.04592098440463,89.85722019084047,3.0459209844046287,0.04912775781297788,168.0
ensemble_bias_horizon,Option_12,0.47503644137760587,1505.0,1090.6312819314348,813.1882188081244,-414.36871806856504,-0.2753280518728007,168.0
ensemble_bias_horizon,Option_13,0.45322533672032705,408.0,534.6085472463798,368.085792103881,126.60854724637981,0.3103150667803427,168.0
ensemble_bias_horizon,Option_14,0.500374690616405,1540.0,1140.9641804184369,793.2397554880678,-399.03581958156326,-0.2591141685594567,168.0
ensemble_bias_horizon,Option_15,0.49936757266883264,1078.0,836.3006324444136,564.1372728196553,-241.69936755558632,-0.2242109160998018,168.0
ensemble_bias_horizon,Option_16,0.46119392427057854,503.0,369.3743657834747,296.6682325349536,-133.62563421652533,-0.26565732448613383,168.0
ensemble_bias_horizon,Option_17,0.6332203984232978,2258.0,1840.6404416478485,828.1883403601935,-417.3595583521514,-0.1848359425828837,168.0
ensemble_bias_horizon,Option_18,0.46946784444885276,311.0,259.2566060259981,242.96927890191074,-51.7433939740019,-0.1663774725852151,168.0
ensemble_bias_horizon,Option_19,0.25680211298577543,282.0,174.41082374583945,300.49720522664586,-107.58917625416055,-0.3815219016104984,168.0
ensemble_bias_horizon,Option_2,0.42026353313621007,459.0,324.6690094959397,308.25117861070834,-134.33099050406034,-0.2926601100306325,168.0
ensemble_bias_horizon,Option_20,0.723501222046655,5295.0,5535.660465763092,1464.0610292629613,240.66046576309242,0.045450512891991014,168.0
ensemble_bias_horizon,Option_21,0.2745792068099289,44.0,69.81645703281788,89.65348683354415,25.81645703281788,0.58673765983677,168.0
ensemble_bias_horizon,Option_22,0.39669210989171655,515.0,360.072861596696,349.407328853197,-154.927138403304,-0.30082939495787187,168.0
ensemble_bias_horizon,Option_23,0.4435456525764391,395.0,432.86628595226745,376.1383878814139,37.86628595226745,0.09586401506903151,168.0
ensemble_bias_horizon,Option_3,0.5980673719055203,2299.0,1874.251113401436,924.0431119892088,-424.748886598564,-0.1847537566761914,168.0
ensemble_bias_horizon,Option_4,0.41263463305972636,417.0,322.3698909459286,297.8834305544948,-94.63010905407138,-0.22693071715604649,168.0
ensemble_bias_horizon,Option_5,0.6059297670116921,2935.0,3380.8356177820165,1156.596133820684,445.8356177820167,0.151903106569682,168.0
ensemble_bias_horizon,Option_6,0.47602350448103375,1012.0,753.6577575068698,530.2642134651937,-258.34224249313024,-0.2552788957441998,168.0
ensemble_bias_horizon,Option_7,0.43056302752209297,564.0,463.2972796570343,407.1473942067231,-100.7027203429657,-0.17855092259391084,168.0
ensemble_bias_horizon,Option_8,0.3409065348378244,271.0,175.83463304855206,257.7369405773011,-95.16536695144791,-0.35116371568799964,168.0
ensemble_bias_horizon,Option_9,0.3457486361172772,175.0,118.71861557857767,172.29351095844214,-56.281384421422345,-0.32160791097955627,168.0
ensemble_bias_item,Option_0,0.5801977197685133,1522.0,1244.3457651568172,661.023893304895,-277.65423484318285,-0.18242722394427258,168.0
ensemble_bias_item,Option_1,0.7442451983614893,5134.0,5113.157719608422,1313.0451516121148,-20.842280391577958,-0.004059657263649778,168.0
ensemble_bias_item,Option_10,0.3986624925833473,490.0,445.221131628312,409.36746462690036,-44.77886837168802,-0.09138544565650616,168.0
ensemble_bias_item,Option_11,0.23962399191784434,62.0,52.09796940486346,84.38459440705077,-9.902030595136534,-0.15971017088929892,168.0
ensemble_bias_item,Option_12,0.4694558832945861,1505.0,1279.3117466007848,826.3859294682902,-225.6882533992152,-0.1499589723582825,168.0
